"rises","sets"
2012-07-05 09:40:06,2012-07-05 22:29:27
2012-07-06 09:20:48,2012-07-06 23:48:41
2012-07-07 09:01:24,2012-07-07 23:53:27
2012-07-08 08:56:06,2012-07-09 00:02:13
2012-07-09 08:54:48,2012-07-10 00:00:54
2012-07-10 08:58:31,2012-07-10 23:59:36
2012-07-11 08:58:14,2012-07-11 23:53:17
2012-07-12 08:56:56,2012-07-12 23:51:59
2012-07-13 09:03:42,2012-07-13 23:44:40
2012-07-14 09:04:26,2012-07-14 23:40:23
2012-07-15 09:56:30,2012-07-15 23:34:08
2012-07-16 09:27:07,2012-07-16 22:16:27
2012-07-17 09:29:57,2012-07-17 22:20:18
2012-07-18 09:13:41,2012-07-18 23:32:32
2012-07-19 09:29:33,2012-07-19 23:47:24
2012-07-20 09:11:12,2012-07-20 23:34:04
2012-07-21 09:12:58,2012-07-21 23:46:54
2012-07-22 09:17:43,2012-07-22 23:38:35
2012-07-23 09:13:26,2012-07-23 23:32:17
